
slabel,plabel,v
粮食作物,定义,粮食作物主要包括水稻、小麦和玉米
国际日界线,定义,为了避免日期的紊乱，国际上规定原则上以180°经线作为地球上“今天”和“昨天”的分界线
0时经线,定义,地方时为0时所在的经线
月平均气温,定义,一月中各日平均气温值的平均数
年平均气温,定义,一年中各月平均气温值的平均数
气温日变化,定义,一个地区的气温变化是有规律的，以一天为周期的气温变化
气温年变化,定义,以一年为周期的气温变化
气温日较差,定义,一天中，最高气温一般出现在午后2时（14时）左右，最低气温出现在日出前后；最高气温与最低气温的差
气温年较差,定义,一年中最高月平均气温和最低月平均气温之差
气温年变化曲线图,定义,一年中各月月平均气温连成的曲线
重工业,定义,以生产生产资料为主的工业
轻工业,定义,以生产生活资料为主的工业
赤道,定义,在地球仪上，与南、北极距离相等的大圆圈
山地,定义,闭合曲线.数值中间大、四周小
盆地,定义,闭合曲线，数值中间小、四周大
山脊,定义,等高线弯曲部分向低处凸出
陡崖,定义,等高线重叠处
等温线,定义,在地图上，把气温相同的各点连接成线
日降水量,定义,每天8时和20时两次记录的降水量之和
月降水量,定义,某月每天的降水量相加
对流雨,定义,每当盛夏，或者在热带地区，近地面空气层因局部地区增热而膨胀上升，引起空气强烈的对流，使空气中的水汽因高空温度低而冷却凝结并致雨
四大地理区域,定义,即北方地区、南方地区、西北地区和青藏地区。
回归年,定义,太阳直射点的回归周期
回归年,定义,太阳直射点在地球表面南北回归线之间往返运动的周期
年降水量,定义,某年每月降水量相加（年平均降水量:某地区多年降水量的平均数）
移民国家,定义,当一个国家的大多数人口为移民时，这个国家被称为移民国家。
移民,定义,所谓移民，是指由于各种原因离开自己的家乡迁移到其他国家定居且加入该国国籍的人
农业机械化,定义,指运用先进的农业技术，在农业生产的各个过程和环节都使用农业机械
农业地区专业化生产,定义,指在一定地区范围内，以生产一两种主要农产品为主的农业生产
外流区,定义,外流河的集水区域（即流域）
外流区,定义,外流河的流域
塬,定义,塬指残留的高原面，顶部平坦开阔，四周被流水侵蚀形成沟壑
梁,定义,塬面受流水侵蚀，沟谷发育，分割成长条状的山梁
峁,定义,梁进一步被沟谷切割分离，形成孤立的馒头状山丘
川,定义,沟谷进一步发育形成川。川是黄土高原农业较发达、人口集中的地区
水土流失,定义,指缺乏植被保护的土地表层，被雨水冲蚀后引起跑土、跑肥、跑水，使土层变薄变贫瘠的现象，是土壤侵蚀的一种主要形式
台风,定义,发生在低纬度地区海洋上的一种热带气旋
寒潮,定义,一种大范围强冷空气活动，主要发生在北半球中高纬地区的深秋到初春季节
自然资源,定义,自然界中对人类活动有价值的土地、阳光、矿产、森林、水和水能等，称为自然资源
流域,定义,指供给河流地表水源的地面集水区和地下水源的地下集水区的总称，一般指地面的集水区
淡水,定义,水圈内的水量总体
水资源,定义,水圈内的水量总体
淡水,定义,通常所说的水资源主要指陆地上的淡水资源
水资源,定义,通常所说的水资源主要指陆地上的淡水资源
淡水,定义,通常把分布在陆地上的淡水资源称为水资源
水资源,定义,通常把分布在陆地上的淡水资源称为水资源
现代运输,定义,是指使用汽车、火车、船舶、飞机等运输工具，把人或物从一个地方运输到另一个地方
三大宗教,定义,现在世界上传播范围广、信仰人数多的有基督教、伊斯兰教和佛教，称为世界三大宗教
教徒,定义,宗教传播范围很广，目前，世界上有近一半的人信仰宗教，信仰宗教的人
国家,定义,指在一个具有保持内部稳定，拥有主权的政府领导下，占据一定领土并居住着一定数量人口，一般具有清晰的边界并得到国际公认，有组织的实际政治地区
地区,定义,指还没有取得独立的，被他国侵占或附属的殖民地或属地
内陆国,定义,四面均不临海的国家
内陆国,定义,四面都不临海
自然灾害,定义,自然环境经常发生异常变化，其中有些会造成资源破坏、财产损失、人员伤亡等危害，这样的异常变化叫做自然灾害。
南北之差,定义,发展中国家与发达国家的经济差距
南北对话,定义,发展中国家和发达国家之间的政治、经济商谈
南南合作,定义,发展中国家之间的互助合作
阿拉伯国家,定义,以阿拉伯人为主，信仰伊斯兰教的国家被叫做“阿拉伯国家”
南亚次大陆,定义,南亚的大陆部分，因被喜马拉雅山脉与亚洲其他地区隔开形成了一个相对独立的地理单元
华人,定义,中国人旅居国外，取得所在国国籍
华侨,定义,中国人旅居国外，仍保留中国国籍
小农业,定义,种植业或仅指农作物（主要包括粮、棉、油、麻、丝、茶、糖、菜、烟、药等）的栽培
地形,定义,地表的不同形态叫地形
小雨,定义,24小时降水量小于10.0mm
中雨,定义,24小时降水量在10.0mm到24.9mm之间
大雨,定义,24小时降水量在25.0mm到49.9mm之间
暴雨,定义,24小时降水量在50.0mm和99.9mm之间
大暴雨,定义,24小时降水量在100.0mm和249.9mm之间
特大暴雨,定义,24小时降水量在250.0mm以上
草地,定义,所有天然和人工的草本群落的统称。天然草地大多是以多年禾草为主的植物群落，其中最重要的是草原；人工草地是指人工加以管理的天然草地和经人工种植的草地
滑坡,定义,滑坡是山坡的一部分沿着滑动面整体下滑的现象
民族区域自治,定义,中国在少数民族聚居的地区实行民族区域自治，设立了自治机关。中国设立了5个自治区：内蒙古自治区（蒙古族聚居），新疆维吾尔自治区（维吾尔族聚居），宁夏回族自治区（回族聚居），西藏自治区（藏族聚居），广西壮族自治区（壮族聚居）
临海国,定义,四面不完全临海
岛国,定义,四面临海
能源资源的开发,定义,可以为人类社会生产和生活提供动力的自然资源称为能源资源。
能源的分类,定义,能源资源的种类很多，对能源进行分类的方法也很多，同一种能源根据不同的分类标准可属于不同的类型。
沧海桑田,定义,沧海桑田，简称沧桑，出自我国古书《神仙传·麻姑》。传说古代有个叫麻姑的仙女，自称曾经三次看到东海变成桑田。其实它的原意就是指海陆变迁
区域,定义,是人们在地理差异的基础上，按一定的指标和方法划分出来的
岩石圈,定义,地壳和上地幔的顶部(软流层以上)的部分
莫霍界面,定义,地壳—地幔的交界面
大气运动,定义,全球有规律的大气运动叫大气环流
岩石圈,定义,地壳和上地幔顶部(软流层 以上)，由坚硬的岩石组成
黄赤交角,定义,自转轨道面与公转轨道面的交角
城市功能分区,定义,相同功能活动集中的区域
城市功能区,定义,相同功能活动集中的区域
牧童经济,定义,"是指对资源进行掠夺、破坏的经济模式,使自然生态遭到破坏,同时使环境污染日益严重"
环境承载力,定义,环境承载力是指在一定时期内，在维持相对稳定的前提下，环境资源所能容纳的人口规模和经济规模的大小。
非地带性现象,定义,指地球表面并不是所有事物都属于地带性的分布规律的地理现象。
城市环境质量,定义,城市环境的总体或某些要素对人群的生存和繁衍以及社会经济活动的适宜程度，是反映人类的具体要求而形成的对环境评定的一种概念。
搬运作用,定义,搬运作用（transportation）是指地表和近地表的岩屑和溶解质等风化物被外营力搬往他处的过程，是自然界塑造地球表面的重要作用之一。
古登堡界面,定义,地幔和地核的界线。
古登堡面,定义,地幔和地核的界线。
